panel	variant	true_len_bin	true_segments_bin	missed_true_rate_bin	split_true_rate_bin	mean_fragments_per_true_bin
human_test	lenadaptive_raw0.70_hmm1_cut150	80_300	129	0.2558139534883721	0.10852713178294573	0.9069767441860465
human_test	lenadaptive_raw0.70_hmm1_cut150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0925925925925926
human_test	lenadaptive_raw0.70_hmm1_cut150	ge1000	5	0.0	0.4	8.6
human_test	lenadaptive_raw0.70_hmm1_cut300	lt80	56	0.625	0.07142857142857142	0.5357142857142857
human_test	lenadaptive_raw0.70_hmm1_cut300	80_300	129	0.2558139534883721	0.20155038759689922	1.1007751937984496
human_test	lenadaptive_raw0.70_hmm1_cut300	300_1000	54	0.05555555555555555	0.05555555555555555	1.1111111111111112
human_test	lenadaptive_raw0.70_hmm1_cut300	ge1000	5	0.0	0.4	11.4
human_test	lenadaptive_raw0.80_hmm1_cut80	lt80	56	0.6428571428571429	0.0	0.35714285714285715
human_test	lenadaptive_raw0.80_hmm1_cut80	80_300	129	0.26356589147286824	0.031007751937984496	0.813953488372093
human_test	lenadaptive_raw0.80_hmm1_cut80	300_1000	54	0.05555555555555555	0.018518518518518517	0.9629629629629629
human_test	lenadaptive_raw0.80_hmm1_cut80	ge1000	5	0.0	0.4	7.6
human_test	lenadaptive_raw0.80_hmm1_cut150	lt80	56	0.6428571428571429	0.0	0.35714285714285715
human_test	lenadaptive_raw0.80_hmm1_cut150	80_300	129	0.26356589147286824	0.13178294573643412	0.9767441860465116
human_test	lenadaptive_raw0.80_hmm1_cut150	300_1000	54	0.05555555555555555	0.037037037037037035	0.9814814814814815
human_test	lenadaptive_raw0.80_hmm1_cut150	ge1000	5	0.0	0.4	7.8
human_test	lenadaptive_raw0.80_hmm1_cut300	lt80	56	0.6428571428571429	0.0	0.35714285714285715
human_test	lenadaptive_raw0.80_hmm1_cut300	80_300	129	0.26356589147286824	0.2713178294573643	1.310077519379845
human_test	lenadaptive_raw0.80_hmm1_cut300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	lenadaptive_raw0.80_hmm1_cut300	ge1000	5	0.0	0.4	7.2
human_test	hmm_p2	lt80	56	0.625	0.0	0.375
human_test	hmm_p2	80_300	129	0.2558139534883721	0.015503875968992248	0.7596899224806202
human_test	hmm_p2	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2	ge1000	5	0.0	0.4	6.0
human_test	hmm_p2_rescue_t0.50_max80	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p2_rescue_t0.50_max80	80_300	129	0.24806201550387597	0.10077519379844961	0.9457364341085271
human_test	hmm_p2_rescue_t0.50_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0555555555555556
human_test	hmm_p2_rescue_t0.50_max80	ge1000	5	0.0	0.4	67.6
human_test	hmm_p2_rescue_t0.50_max150	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p2_rescue_t0.50_max150	80_300	129	0.24806201550387597	0.10077519379844961	0.9457364341085271
human_test	hmm_p2_rescue_t0.50_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0555555555555556
human_test	hmm_p2_rescue_t0.50_max150	ge1000	5	0.0	0.4	67.6
human_test	hmm_p2_rescue_t0.50_max300	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p2_rescue_t0.50_max300	80_300	129	0.24806201550387597	0.10077519379844961	0.9457364341085271
human_test	hmm_p2_rescue_t0.50_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0555555555555556
human_test	hmm_p2_rescue_t0.50_max300	ge1000	5	0.0	0.4	67.6
human_test	hmm_p2_rescue_t0.60_max80	lt80	56	0.625	0.0	0.375
human_test	hmm_p2_rescue_t0.60_max80	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p2_rescue_t0.60_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0
human_test	hmm_p2_rescue_t0.60_max80	ge1000	5	0.0	0.4	10.0
