source	species	model	te_f1	distance_bucket	label_jaccard	repeat_library_completeness	ucsc_te_bp_log10	self_ucsc_bp_ratio_log	class_entropy	gc	train_clade_covered	kingdom_plant	stress_panel	insect_panel	path
extend_transfer	thale_cress		0.14310610385111303	1.25	0.043011	0.043145	7.447932540451805	-1.3348837532454814	0.5750924525650837	0.37194986979166667	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu/plant_fine/thale_cress.json
extend_transfer	soybean		0.29043941020534336	1.25	0.121572	0.122064	8.608306218531684	-0.8992367578779318	0.17392699985914958	0.33065787447666023	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_eval/soybean.json
extend_transfer	teosinte		0.8536246361328441	1.2	0.086856	0.088019	9.40885472713007	-0.993955514543429	0.6973316816662691	0.4395222981770833	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_eval/teosinte.json
extend_transfer	brachypodium		0.17583607615508387	1.2	0.101164	0.1029	7.643041066433577	-0.9206109317487544	0.06583511724192198	0.45643717447916665	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/brachypodium.json
extend_transfer	maize		0.909052475902958	1.2	0.095466	0.095627	9.25065286834475	-1.0118103771989704	0.24379523200914857	0.4714225260416667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/maize.json
extend_transfer	rice		0.6486419060845329	1.2	0.042709	0.042814	8.176930876230262	-1.344116021434893	0.3898410147927084	0.4368538411458333	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/rice.json
extend_transfer	sorghum		0.6545934990845218	1.2	0.057919	0.05798	8.620727936447597	-1.228939555640864	0.3764499737832796	0.4409488932291667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/sorghum.json
extend_transfer	thale_cress		0.16349420922345012	1.25	0.043011	0.043145	7.447932540451805	-1.3348837532454814	0.5750924525650837	0.37194986979166667	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_pu_tv/plant_fine/thale_cress.json
extend_transfer	cattle		0.6254091793201715	0.28	0.48001	0.488924	9.101775014949785	-0.29456695170425834	0.5026184117689	0.441201171875	0.0	0.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/cattle.json
extend_transfer	horse		0.49322831015303614	0.28	0.791397	0.812579	9.026699378784475	-0.07606022944133566	0.5590335596041941	0.5219681309917154	0.0	0.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/horse.json
extend_transfer	lizard		0.11694718797714913	0.5	0.038956	0.053715	7.983968523314736	-0.3639181796590216	0.5667695928828661	0.4049650383467576	0.0	0.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/lizard.json
extend_transfer	opossum		0.6104616811174656	0.35	0.387702	0.396173	9.273598589520779	-0.37880048273767486	0.4931961307204842	0.42751062526527384	0.0	0.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/opossum.json
extend_transfer	pig		0.4549598250890798	0.28	0.582164	0.594998	9.032045335315601	-0.20968427520846328	0.5146315299426227	0.53280517578125	0.0	0.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/cross_eval/cross_kingdom_pu/pig.json
