source	species	model	te_f1	target_kingdom	anchor_type	distance_mya	log_distance_mya	target_gc	same_kingdom_anchor	cross_anchor	plant_target	insect_target	vertebrate_target	label_jaccard	library_completeness	self_ucsc_ratio_log	path
calib_summary	teosinte	insect_no_beetle_4096	0.7928110204987012	plant	insect	1500.0	3.1760912590556813	0.435516357421875	0.0	0.0	1.0	0.0	0.0	0.086856	0.088019	-0.993955514543429	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/teosinte.json
calib_summary	western_honey_bee	insect_no_beetle_4096	0.7983193277310925	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/western_honey_bee.json
calib_summary	x_laevis	insect_no_beetle_4096	0.28296009342573014	vertebrate	insect	370.0	2.568201724066995	0.3856893499332528	0.0	0.0	0.0	0.0	1.0	0.000194	0.000194	-3.6232965958865218	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/x_laevis.json
calib_summary	soybean	insect_no_beetle_4096	0.48678244619370387	plant	insect	1550.0	3.1903316981702914	0.33281741126935166	0.0	0.0	1.0	0.0	0.0	0.121572	0.122064	-0.8992367578779318	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_eval/soybean.json
calib_summary	teosinte	insect_no_beetle_4096	0.7928110204987012	plant	insect	1500.0	3.1760912590556813	0.435516357421875	0.0	0.0	1.0	0.0	0.0	0.086856	0.088019	-0.993955514543429	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_eval/teosinte.json
calib_summary	brachypodium	insect_no_beetle_4096	0.45025616967691756	plant	insect	1500.0	3.1760912590556813	0.455743408203125	0.0	0.0	1.0	0.0	0.0	0.101164	0.1029	-0.9206109317487544	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_fine/brachypodium.json
calib_summary	maize	insect_no_beetle_4096	0.8258861241547802	plant	insect	1500.0	3.1760912590556813	0.475595703125	0.0	0.0	1.0	0.0	0.0	0.095466	0.095627	-1.0118103771989704	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_fine/maize.json
calib_summary	rice	insect_no_beetle_4096	0.6461381376419327	plant	insect	1500.0	3.1760912590556813	0.435623779296875	0.0	0.0	1.0	0.0	0.0	0.042709	0.042814	-1.344116021434893	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_fine/rice.json
calib_summary	sorghum	insect_no_beetle_4096	0.7395318366775196	plant	insect	1500.0	3.1760912590556813	0.443807373046875	0.0	0.0	1.0	0.0	0.0	0.057919	0.05798	-1.228939555640864	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_fine/sorghum.json
calib_summary	thale_cress	insect_no_beetle_4096	0.13825595918387032	plant	insect	1550.0	3.1903316981702914	0.372218017578125	0.0	0.0	1.0	0.0	0.0	0.043011	0.043145	-1.3348837532454814	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/plant_fine/thale_cress.json
calib_summary	lizard	insect_no_beetle_4096	0.14183013901954156	vertebrate	insect	320.0	2.505149978319906	0.40405036669277106	0.0	0.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/stress_eval/lizard.json
calib_summary	red_flour_beetle	insect_no_beetle_4096	0.0059299524368398296	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/stress_eval/red_flour_beetle.json
calib_summary	western_honey_bee	insect_no_beetle_4096	0.7983193277310925	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/stress_eval/western_honey_bee.json
calib_summary	x_laevis	insect_no_beetle_4096	0.28296009342573014	vertebrate	insect	370.0	2.568201724066995	0.3856893499332528	0.0	0.0	0.0	0.0	1.0	0.000194	0.000194	-3.6232965958865218	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/stress_eval/x_laevis.json
calib_summary	cattle	plant_supervised_4096	0.08588097700685454	vertebrate	plant	96.0	1.9822712330395684	0.4334912109375	0.0	0.0	0.0	0.0	1.0	0.48001	0.488924	-0.29456695170425834	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/cattle.json
calib_summary	horse	plant_supervised_4096	0.10256021541050382	vertebrate	plant	96.0	1.9822712330395684	0.5177628848360556	0.0	0.0	0.0	0.0	1.0	0.791397	0.812579	-0.07606022944133566	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/horse.json
calib_summary	human	plant_supervised_4096	0.1214275571269181	vertebrate	plant	6.0	0.7781512503836436	0.545770263671875	0.0	0.0	0.0	0.0	1.0	0.948128	0.966802	-0.005903571159263742	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/human.json
calib_summary	lizard	plant_supervised_4096	0.15060947596156826	vertebrate	plant	320.0	2.505149978319906	0.40405036669277106	0.0	0.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/lizard.json
calib_summary	opossum	plant_supervised_4096	0.3131202191971405	vertebrate	plant	160.0	2.204119982655925	0.4415015398206201	0.0	0.0	0.0	0.0	1.0	0.387702	0.396173	-0.37880048273767486	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/opossum.json
calib_summary	pig	plant_supervised_4096	0.08568053441470792	vertebrate	plant	96.0	1.9822712330395684	0.52506103515625	0.0	0.0	0.0	0.0	1.0	0.582164	0.594998	-0.20968427520846328	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/pig.json
calib_summary	red_flour_beetle	plant_supervised_4096	0.002370929625562839	insect	plant	820.0	2.9138138523837167	0.3398226403076848	0.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/red_flour_beetle.json
calib_summary	soybean	plant_supervised_4096	0.41155355059138393	plant	plant	1550.0	3.1903316981702914	0.33281741126935166	1.0	0.0	1.0	0.0	0.0	0.121572	0.122064	-0.8992367578779318	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/soybean.json
calib_summary	teosinte	plant_supervised_4096	0.9308197551982428	plant	plant	1500.0	3.1760912590556813	0.435516357421875	1.0	0.0	1.0	0.0	0.0	0.086856	0.088019	-0.993955514543429	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/teosinte.json
calib_summary	western_honey_bee	plant_supervised_4096	0.0003842421976866535	insect	plant	820.0	2.9138138523837167	0.3657441979287441	0.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/plant_supervised/cross_eval/western_honey_bee.json
