feature_set	split	species	species_group	chosen_anchor	true_best_anchor	chosen_actual_te_f1	true_best_te_f1	anchor_top1_hit	anchor_top2_hit	regret	predicted_score	predicted_uncertainty_sd	risk_bin
baseline_deployable	leave_clade_out	mouse	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.7771925460040144	0.937559801228433	0	0	0.16036725522441853	0.48178531183123185	0.25659124249207205	low_0.40_0.60
baseline_deployable	leave_clade_out	opossum	vertebrate	insect	animal	0.3505344111723824	0.8811419601553324	0	0	0.53060754898295	0.6232530193171872	0.21253046600208586	medium_0.60_0.80
baseline_deployable	leave_clade_out	pig	vertebrate	insect	animal	0.1493562637371058	0.8761131743803473	0	0	0.7267569106432414	0.6232530193171872	0.21253046600208586	medium_0.60_0.80
baseline_deployable	leave_clade_out	red_flour_beetle	insect	cross	insect	0.0030871384254842	0.0059299524368398	0	0	0.0028428140113556	0.7181661375679801	0.19593226354378962	medium_0.60_0.80
baseline_deployable	leave_clade_out	rice	plant	insect	cross	0.6461381376419327	0.8757886614942711	0	0	0.22965052385233842	0.7565896238450348	0.1711434971906512	medium_0.60_0.80
baseline_deployable	leave_clade_out	sorghum	plant	insect	cross	0.7395318366775196	0.9154621597006132	0	0	0.17593032302309353	0.7565896238450348	0.1711434971906512	medium_0.60_0.80
baseline_deployable	leave_clade_out	soybean	plant	insect	animal	0.4867824461937038	0.5650860204945004	0	0	0.0783035743007966	0.32712367764996214	0.17678277526562236	very_low_lt0.40
baseline_deployable	leave_clade_out	teosinte	plant	insect	plant	0.7928110204987012	0.9308197551982428	0	0	0.13800873469954156	0.32712367764996214	0.17678277526562236	very_low_lt0.40
baseline_deployable	leave_clade_out	thale_cress	plant	insect	cross	0.1382559591838703	0.7121875392581978	0	0	0.5739315800743274	0.6612701937201516	0.2036780355523617	medium_0.60_0.80
baseline_deployable	leave_clade_out	western_clawed_frog	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5191597065847986	0.7676709570719781	0	0	0.24851125048717948	0.557465054184475	0.21951732180044667	low_0.40_0.60
baseline_deployable	leave_clade_out	western_honey_bee	insect	cross	insect	0.0052898014902451	0.946524064171123	0	0	0.941234262680878	0.7181661375679801	0.19593226354378962	medium_0.60_0.80
baseline_deployable	leave_clade_out	x_laevis	vertebrate	insect	animal	0.2829600934257301	0.4013777654205557	0	0	0.11841767199482561	0.6232530193171872	0.21253046600208586	medium_0.60_0.80
baseline_deployable	leave_clade_out	zebrafish	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5214699959942013	0.8151318178516959	0	0	0.29366182185749456	0.48178531183123185	0.25659124249207205	low_0.40_0.60
baseline_plus_kmer	leave_species_out	brachypodium	plant	plant	cross	0.7765195434514967	0.8175422271365038	0	1	0.041022683685007166	0.9140594515152671	0.07122215628313534	high_ge0.80
baseline_plus_kmer	leave_species_out	c_elegans	other	cross	animal	0.8952111633807284	0.9053972034713066	0	1	0.010186040090578219	0.6831777850381159	0.2125605793130526	medium_0.60_0.80
baseline_plus_kmer	leave_species_out	cattle	vertebrate	animal	animal	0.9216935615407684	0.9216935615407684	1	1	0.0	0.6784837181713974	0.24076081600542035	medium_0.60_0.80
baseline_plus_kmer	leave_species_out	chicken	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.8516226680157541	0.8516226680157541	1	1	0.0	0.5271605632718803	0.2645781075632283	low_0.40_0.60
baseline_plus_kmer	leave_species_out	fruit_fly	insect	insect	insect	0.944818571090276	0.944818571090276	1	1	0.0	0.6535233364815197	0.23497064949131374	medium_0.60_0.80
baseline_plus_kmer	leave_species_out	horse	vertebrate	cross	cross	0.8925601404845789	0.8925601404845789	1	1	0.0	0.763611739568452	0.2279642755486205	medium_0.60_0.80
baseline_plus_kmer	leave_species_out	human	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.961411324419745	0.961411324419745	1	1	0.0	0.7296249898095004	0.23205169943141696	medium_0.60_0.80
